id,업체명,
1,,0
2,더세이프렌터카,2.4
3,아리랑렌트카,2.7
4,제주아산렌트카,4.6
5,한국렌트카,2
6,탐라렌트카,2.9
7,써니빌렌트카,0
8,용두암렌트카,3
9,장수렌트카,4.2
10,가자제주렌트카,3.6
11,오름렌트카,0
12,제주렌트카 본사,4.3
13,제주오케이렌터카,0
14,뉴제주렌터카,1.8
15,굿모닝렌트카,3.5
16,제주공항렌트카 본사,4.2
17,,0
18,한길렌터카,5
19,대진렌트카,0
20,발리렌트카,3.6
21,렌트파크,0
22,하나렌트카,4.1
23,행운렌트카,0
24,제주사랑렌트카,2.4
25,한라산렌트카,3.3
26,특별한렌트카,2.5
27,올레렌트카,2.5
28,제주드림렌트카,2
29,제주여행렌트카,0
30,제주타요렌터카,3.2
31,좋은렌트카,0
32,KD렌트카,1.8
33,제주평화렌트카,3
34,제주현대렌트카,3.1
35,,0
36,썬렌트카,2.1
37,,0
38,무지개렌트카,2.1
39,뉴대한렌트카,1.8
40,우리렌트카,0
41,,0
42,레츠고렌트카,3.1
43,퍼스트렌트카,2.5
44,통일렌트카,1.5
45,더세븐렌트카,1.6
46,에스제이렌트카,4.5
47,메이저렌트카,0
48,제주로렌트카,2.4
49,,0
50,조아렌트카,2.8
51,에이스렌트카,2.3
52,오라렌트카,2.1
53,제주삼성렌트카,1.5
54,예스렌트카,2.1
55,제주한라렌트카,4.3
56,,0
57,디렌트카,3.7
58,제주카카오렌트카,0
59,,0
60,제주명품렌트카,2.3
61,씨유렌트카,1.5
62,제주엔젤렌트카,0
63,오렌지렌트카,2.1
64,로그인렌트카,1.9
65,,0
66,패밀리렌트카,1.8
67,,0
68,수렌트카,3.3
69,,0
70,땡큐제주렌트카,2.7
71,,0
72,제주다움렌터카,2.6
73,로얄렌트카,1
74,블루렌트카,1.9
75,로보트렌터카,2.1
76,제주베스트렌트카,1
77,제주알프스렌터카,2.9
78,파워렌트카,1
79,,0
80,우도전기렌트카,2.3
81,,
82,라인렌트카,2.6
83,자보렌트카,0
84,제주원렌트카 본점,2.7
85,매일렌트카,4.7
86,,0
87,,0
88,스마일렌트카,0
89,녹원렌터카,2.4
90,보고타렌터카,2.3
91,플러스제주렌트카,0
92,,0
93,,0
94,,0
95,,0
96,,0
97,금강렌트카,3.3
98,,0
99,,0
100,신동아렌터카,4.1
101,,0
102,,0
103,소풍렌트카,0
104,제주동백렌트카,0
105,롯데렌터카 제주중문롯데호텔지점,3.8
106,차세대렌트카 제주오토하우스,3.4
107,SK렌터카 제주지점,3.5
108,,0
109,레드캡렌터카 제주지점,4.5
110,스타렌트카,2
111,제일렌트카 공항점,4.7
112,해피렌트카,3.8
113,퍼시픽렌터카 제주지점,1.6
