id,name,addr,x_crdn,y_crdn,park_day,wkdy_strt,wkdy_end,lhdy_strt,lhdy_end,basic_time,basic_fare,add_time,add_fare,whol_npls
11111111,서귀포매일올레시장,서귀포시 중앙로 62번길 18,126.56326295,33.25031562,월화수목금토일,090000,180000,090000,180000,30,1000,15,500,216
16488201,법원북측공영주차장,제주시 이도이동 1066,126.53534209,33.49472463,월화수목금토일,090000,180000,090000,180000,30,1000,15,500,91
20019319,산짓물공영주차장,제주시 건입동 1330,126.52872778,33.51590058,월화수목금토일,090000,180000,090000,180000,30,1000,15,500,71
17680713,이도2동공영주차장,제주시 오복3길 9 (이도이동 1052-2),126.53494394,33.49673819,월화수목금토일,090000,180000,090000,180000,30,1000,15,500,150
17759313,북수구공영주차장,제주시 일도일동 1230-3,126.52794054,33.5146917,월화수목금토일,080000,220000,080000,220000,30,1000,15,500,51
11251813,신제주공영주차장,제주시 연동 신대로12길,126.49106817,33.48893829,월화수목금,090000,180000,090000,180000,30,1000,15,500,500
17039715,동문공설시장공영주차장,제주시 동문로4길 9 (일도일동 1104-2),126.52819953,33.51208935,월화수목금토일,090000,180000,090000,180000,30,1000,15,500,264
17385794,서귀중앙공영주차빌딩,서귀포시 중앙로 54번길 17 (서귀동 291-63),126.56221093,33.2498566,월화수목금토일,090000,180000,090000,180000,30,1000,15,500,306
17435963,칠성골공영주차장,제주시 임항로 8 (삼도이동 1192-8),126.525116,33.516579,월화수목금토일,120000,210000,120000,210000,30,1000,15,500,80
16489518,인제공영주차장,제주시 고마로 19길 5 (일도이동 409-11),126.54195004,33.50479298,월화수목금토일,120000,210000,120000,210000,30,1000,15,500,125
